< 0 , 0 > 2
< 34 , _ > 2
< 8 , _ > 2
< 0 , 1 > 2
< 41 , _ > 2
< 8 , _ > 2
< 0 , 2 > 2
< 35 , _ > 2
< 36 , _ > 2
< 8 , _ > 3
< 0 , 3 > 3
< 22 , _ > 3
< 0 , 1 > 3
< 38 , _ > 3
< 0 , 1 > 4
< 22 , _ > 4
< 0 , 2 > 4
< 38 , _ > 4
< 0 , 2 > 5
< 22 , _ > 5
< 0 , 3 > 5
< 38 , _ > 5
< 37 , _ > 6
< 13 , _ > 8
< 0 , 4 > 8
< 34 , _ > 8
< 8 , _ > 8
< 0 , 5 > 8
< 22 , _ > 8
< 1 , 10 > 8
< 38 , _ > 8
< 35 , _ > 8
< 38 , _ > 8
< 8 , _ > 11
< 0 , 5 > 11
< 22 , _ > 11
< 1 , 1 > 11
< 38 , _ > 11
< 8 , _ > 12
< 0 , 6 > 12
< 22 , _ > 12
< 1 , 0 > 12
< 38 , _ > 12
< 10 , _ > 13
< 0 , 7 > 13
< 22 , _ > 13
< 2 , 1.1 > 13
< 38 , _ > 13
< 8 , _ > 14
< 0 , 8 > 14
< 39 , _ > 14
< 1 , 5 > 14
< 40 , _ > 14
< 39 , _ > 14
< 1 , 2 > 14
< 40 , _ > 14
< 38 , _ > 14
< 6 , _ > 17
< 34 , _ > 17
< 15 , _ > 17
< 35 , _ > 17
< 36 , _ > 17
< 0 , 5 > 18
< 22 , _ > 18
< 1 , 2 > 18
< 38 , _ > 18
< 37 , _ > 19
< 7 , _ > 20
< 36 , _ > 20
< 0 , 5 > 21
< 22 , _ > 21
< 1 , 3 > 21
< 38 , _ > 21
< 37 , _ > 22
< 0 , 5 > 23
< 23 , _ > 23
< 38 , _ > 23
< 0 , 5 > 26
< 22 , _ > 26
< 19 , _ > 26
< 1 , 1 > 26
< 18 , _ > 26
< 1 , 2 > 26
< 20 , _ > 26
< 1 , 3 > 26
< 38 , _ > 26
< 0 , 6 > 27
< 22 , _ > 27
< 34 , _ > 27
< 1 , 1 > 27
< 18 , _ > 27
< 1 , 2 > 27
< 35 , _ > 27
< 20 , _ > 27
< 1 , 9 > 27
< 38 , _ > 27
< 0 , 8 > 28
< 39 , _ > 28
< 1 , 1 > 28
< 40 , _ > 28
< 39 , _ > 28
< 1 , 0 > 28
< 40 , _ > 28
< 22 , _ > 28
< 1 , 2 > 28
< 38 , _ > 28
< 6 , _ > 30
< 34 , _ > 30
< 38 , _ > 30
< 43 , _ > 33
< 34 , _ > 33
< 0 , 7 > 33
< 35 , _ > 33
< 38 , _ > 33
< 44 , _ > 34
< 34 , _ > 34
< 0 , 5 > 34
< 35 , _ > 34
< 38 , _ > 34
< 12 , _ > 38
< 34 , _ > 38
< 0 , 7 > 38
< 32 , _ > 38
< 2 , 2.3 > 38
< 27 , _ > 38
< 0 , 5 > 38
< 30 , _ > 38
< 1 , 10 > 38
< 28 , _ > 38
< 0 , 5 > 38
< 31 , _ > 38
< 1 , 20 > 38
< 35 , _ > 38
< 36 , _ > 38
< 0 , 7 > 39
< 22 , _ > 39
< 0 , 7 > 39
< 18 , _ > 39
< 2 , 0.2 > 39
< 38 , _ > 39
< 37 , _ > 40
< 42 , _ > 41
< 0 , 0 > 41
< 34 , _ > 41
< 0 , 5 > 41
< 41 , _ > 41
< 0 , 6 > 41
< 35 , _ > 41
< 38 , _ > 41
