null     <=     E'     float     number     record     id     Elist     ==     !     void     $     B'     (     )     *     +     real     ,     -     /     true     ;     <     !=     =     >     >=     G'     A     B     C     D     E     Elist'     F     G     H     I     L     relop     M     P     S     T     and     X     Y     [     L'     ]     H'     proc     or     false     int     call     boolean     char     M'     {     }     return     
G'     G'→ ε     null     null     null     null     null     null     G'→ ε     null     null     G'→ ε     null     null     G'→ ε     G'→* F G'      G'→ ε     null     G'→ ε     G'→ ε     G'→ / F G'      null     G'→ ε     G'→ ε     G'→ ε     G'→ ε     G'→ ε     G'→ ε     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     G'→ ε     null     null     null     null     G'→ ε     null     null     G'→ ε     null     null     null     null     null     null     null     null     null     
A     null     null     null     null     null     null     null     null     null     null     A→ ε     null     null     null     null     null     null     A→ , id A      null     null     null     A→ ε     null     null     A→= E A      null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     
E'     E'→ ε     null     null     null     null     null     null     E'→ ε     null     null     E'→ ε     null     null     E'→ ε     null     E'→+ G E'      null     E'→ ε     E'→ - G E'      null     null     E'→ ε     E'→ ε     E'→ ε     E'→ ε     E'→ ε     E'→ ε     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     E'→ ε     null     null     null     null     E'→ ε     null     null     E'→ ε     null     null     null     null     null     null     null     null     null     
B     null     null     null     B→H B'     null     B→H B'     null     null     B→H B'     null     null     null     B→H B'     null     null     null     B→H B'     null     null     null     B→H B'     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     B→H B'     null     null     null     null     null     null     null     null     
C     null     null     null     null     null     C→ ε     null     null     null     null     C→ ε     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     C→[ number ] C      null     null     null     null     null     null     null     null     null     null     null     null     null     null     
D     null     null     D→ T id A ;     null     D→ record id { P }      null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     D→ T id A ;     null     null     D→ T id A ;     null     D→ T id A ;     D→ T id A ;     null     null     null     null     
Start     null     null     Start→P     null     Start→P     null     null     null     null     null     Start→P     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     Start→P     null     null     Start→P     Start→P     Start→P     Start→P     null     null     null     Start→P     
E     null     null     null     E→G E'     null     E→G E'     null     null     null     null     null     null     E→G E'     null     null     null     E→G E'     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     
Elist'     null     null     null     null     null     null     null     null     null     null     Elist'→ ε     null     null     Elist'→ ε     null     null     null     Elist'→, E Elist'      null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     
F     null     null     null     F→ number      null     F→id      null     null     null     null     null     null     F→ L     null     null     null     F→ real      null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     null     
