< 8 , _ > 1
< 0 , 0 > 1
< 34 , _ > 1
< 8 , _ > 1
< 0 , 1 > 1
< 41 , _ > 1
< 8 , _ > 1
< 0 , 2 > 1
< 35 , _ > 1
< 36 , _ > 1
< 8 , _ > 2
< 0 , 3 > 2
< 34 , _ > 2
< 8 , _ > 2
< 0 , 1 > 2
< 35 , _ > 2
< 36 , _ > 2
< 0 , 1 > 3
< 22 , _ > 3
< 0 , 1 > 3
< 18 , _ > 3
< 1 , 1 > 3
< 38 , _ > 3
< 45 , _ > 4
< 0 , 1 > 4
< 38 , _ > 4
< 37 , _ > 5
< 10 , _ > 6
< 0 , 4 > 6
< 22 , _ > 6
< 0 , 1 > 6
< 18 , _ > 6
< 0 , 2 > 6
< 38 , _ > 6
< 45 , _ > 7
< 0 , 4 > 7
< 38 , _ > 7
< 37 , _ > 8
< 13 , _ > 10
< 0 , 5 > 10
< 34 , _ > 10
< 8 , _ > 10
< 0 , 1 > 10
< 22 , _ > 10
< 1 , 10 > 10
< 38 , _ > 10
< 35 , _ > 10
< 38 , _ > 10
< 8 , _ > 12
< 0 , 1 > 12
< 22 , _ > 12
< 1 , 1 > 12
< 38 , _ > 12
< 8 , _ > 13
< 0 , 1 > 13
< 22 , _ > 13
< 1 , 1 > 13
< 38 , _ > 13
< 8 , _ > 14
< 0 , 2 > 14
< 22 , _ > 14
< 1 , 1 > 14
< 38 , _ > 14
< 8 , _ > 15
< 0 , 4 > 15
< 22 , _ > 15
< 1 , 1 > 15
< 38 , _ > 15
< 8 , _ > 16
< 0 , 6 > 16
< 22 , _ > 16
< 1 , 1 > 16
< 38 , _ > 16
< 8 , _ > 17
< 0 , 7 > 17
< 22 , _ > 17
< 1 , 1 > 17
< 38 , _ > 17
< 8 , _ > 18
< 0 , 8 > 18
< 22 , _ > 18
< 1 , 1 > 18
< 38 , _ > 18
< 8 , _ > 19
< 0 , 9 > 19
< 22 , _ > 19
< 1 , 1 > 19
< 38 , _ > 19
< 10 , _ > 20
< 0 , 10 > 20
< 22 , _ > 20
< 0 , 1 > 20
< 38 , _ > 20
< 8 , _ > 21
< 0 , 11 > 21
< 22 , _ > 21
< 0 , 10 > 21
< 38 , _ > 21
< 0 , 9 > 22
< 22 , _ > 22
< 0 , 1 > 22
< 20 , _ > 22
< 34 , _ > 22
< 19 , _ > 22
< 0 , 4 > 22
< 18 , _ > 22
< 0 , 2 > 22
< 35 , _ > 22
< 38 , _ > 22
< 0 , 12 > 23
< 22 , _ > 23
< 0 , 1 > 23
< 38 , _ > 23
< 0 , 0 > 24
< 22 , _ > 24
< 1 , 0 > 24
< 38 , _ > 24
< 12 , _ > 25
< 34 , _ > 25
< 0 , 1 > 25
< 30 , _ > 25
< 0 , 2 > 25
< 35 , _ > 25
< 36 , _ > 25
< 6 , _ > 26
< 34 , _ > 26
< 0 , 4 > 26
< 30 , _ > 26
< 0 , 6 > 26
< 35 , _ > 26
< 36 , _ > 26
< 0 , 7 > 27
< 22 , _ > 27
< 0 , 8 > 27
< 18 , _ > 27
< 0 , 9 > 27
< 38 , _ > 27
< 37 , _ > 28
< 7 , _ > 28
< 36 , _ > 28
< 0 , 7 > 29
< 22 , _ > 29
< 0 , 8 > 29
< 20 , _ > 29
< 0 , 9 > 29
< 38 , _ > 29
< 37 , _ > 30
< 37 , _ > 31
< 6 , _ > 32
< 34 , _ > 32
< 0 , 1 > 32
< 31 , _ > 32
< 0 , 6 > 32
< 35 , _ > 32
< 36 , _ > 32
< 0 , 1 > 33
< 22 , _ > 33
< 0 , 1 > 33
< 18 , _ > 33
< 1 , 1 > 33
< 38 , _ > 33
< 37 , _ > 34
< 12 , _ > 35
< 34 , _ > 35
< 0 , 4 > 35
< 30 , _ > 35
< 0 , 2 > 35
< 27 , _ > 35
< 0 , 7 > 35
< 31 , _ > 35
< 0 , 8 > 35
< 35 , _ > 35
< 36 , _ > 35
< 0 , 2 > 36
< 22 , _ > 36
< 0 , 4 > 36
< 18 , _ > 36
< 1 , 1 > 36
< 38 , _ > 36
< 37 , _ > 37
